"Name","SRX697827_SRR1571697_TPM","SRX697828_SRR1571698_TPM","SRX697829_SRR1571699_TPM","SRX697830_SRR1571700_TPM","SRX697831_SRR1571701_TPM","SRX697832_SRR1571702_TPM","SRX697833_SRR1571703_TPM","pir","subfam"
"NODE_1070_length_6372_cov_44.066",2.067685,2.4553,3.96598,2.234487,12.714949,9.017451,5.403787,FALSE,"noCluster"
"NODE_1071_length_6368_cov_55.7043",5.260804,4.436577,5.486259,6.240816,8.55489,7.235383,10.162342,FALSE,"noCluster"
"NODE_1072_length_6358_cov_20.7038",3.879827,4.898375,4.166046,2.615196,2.081886,0.753333,0.764734,FALSE,"noCluster"
"NODE_1073_length_6358_cov_31.2838",0.18698,0.349884,0.713458,6.437886,11.479903,4.636917,2.262774,FALSE,"noCluster"
"NODE_1074_length_6353_cov_29.2696",8.146969,6.519494,4.653931,1.766251,1.174374,1.500316,2.759551,FALSE,"noCluster"
"NODE_1075_length_6353_cov_88.6947",26.139365,16.752933,11.870711,3.470462,2.020429,5.862539,9.310025,FALSE,"noCluster"
"NODE_1076_length_6352_cov_60.0305",8.063404,6.822123,7.966365,4.931744,5.173262,7.209841,13.1162,FALSE,"noCluster"
"NODE_1077_length_6348_cov_110.72",22.380642,18.702048,16.340129,11.341555,7.784935,10.744161,12.370902,FALSE,"noCluster"
"NODE_1078_length_6342_cov_177.365",36.206062,12.955854,10.321136,7.755373,10.031567,22.358955,55.109,FALSE,"noCluster"
"NODE_1079_length_6340_cov_43.6951",8.706495,7.768344,9.042812,4.100857,2.411503,3.206032,5.310092,FALSE,"noCluster"
"NODE_1080_length_6340_cov_15.4371",1.675402,2.08203,2.466025,1.31865,1.608774,1.862764,2.430309,FALSE,"noCluster"
"NODE_1081_length_6316_cov_7.22792",0.549079,0.821971,0.756803,0.334584,0.215961,1.621561,1.793036,FALSE,"noCluster"
"NODE_1082_length_6313_cov_25.1686",1.318556,1.010342,3.285815,3.27892,5.058487,4.096999,4.296167,FALSE,"noCluster"
"NODE_1083_length_6312_cov_28.7926",6.084722,7.355811,6.661636,2.299941,1.093218,1.360903,1.68866,FALSE,"noCluster"
"NODE_1084_length_6303_cov_80.4003",8.178202,4.017906,4.905423,6.621006,10.97807,16.958337,19.752276,FALSE,"noCluster"
"NODE_1085_length_6301_cov_30.0857",0.833494,1.74213,4.397616,4.433126,5.475879,4.65371,3.256493,FALSE,"noCluster"
"NODE_1086_length_6297_cov_47.5673",11.330326,7.281599,5.635708,2.013718,1.987893,6.375146,8.040739,FALSE,"noCluster"
"NODE_1087_length_6295_cov_167.758",0.251867,0.412393,0.566329,52.695034,75.88538,19.10543,6.561688,FALSE,"noCluster"
"NODE_1088_length_6292_cov_18.6295",4.063345,4.621067,3.657185,1.591841,1.020263,1.010878,1.037677,FALSE,"noCluster"
"NODE_1089_length_6278_cov_154.736",24.893694,11.319189,9.254244,9.572892,9.609328,20.069496,49.527333,FALSE,"noCluster"
"NODE_1090_length_6278_cov_76.8081",17.879329,23.203679,17.909091,4.725892,2.63319,1.973748,2.337764,FALSE,"noCluster"
"NODE_1091_length_6277_cov_105.578",1.722859,4.588418,3.553378,1.27515,0.800734,0.408441,0.595201,FALSE,"noCluster"
"NODE_1092_length_6274_cov_33.3767",7.15549,5.358282,5.036842,4.833517,3.709343,2.567551,2.569971,FALSE,"noCluster"
"NODE_1093_length_6271_cov_34.2833",0.95176,2.311821,3.549478,3.110168,9.361609,6.864815,3.582798,FALSE,"noCluster"
"NODE_1094_length_6268_cov_85.9691",18.388708,19.89384,17.931191,8.45963,5.185377,4.78429,4.860478,FALSE,"noCluster"
"NODE_1095_length_6267_cov_96.5304",21.249408,24.573161,20.3221,12.168242,4.827672,2.570494,2.806818,FALSE,"noCluster"
"NODE_1096_length_6260_cov_14.621",3.641371,3.483998,2.666671,0.95424,0.794852,0.686252,1.298578,FALSE,"noCluster"
"NODE_1097_length_6259_cov_144.36",28.699297,29.099497,26.408147,15.956135,13.080093,11.606273,7.713927,FALSE,"noCluster"
"NODE_1098_length_6258_cov_25.7914",5.51136,4.409771,5.54228,3.421707,1.782591,1.584177,1.895278,FALSE,"noCluster"
"NODE_1099_length_6256_cov_441.172",116.596473,70.319017,55.643896,43.347506,39.173454,30.714355,30.96179,FALSE,"noCluster"
"NODE_1100_length_6255_cov_54.3921",9.031673,8.693426,6.153924,2.101051,2.296697,6.207747,12.751421,FALSE,"noCluster"
"NODE_1101_length_6253_cov_40.0708",10.621612,9.64787,7.801851,3.409816,2.515644,1.625114,1.513196,FALSE,"noCluster"
"NODE_1102_length_6253_cov_42.3235",2.266752,5.801476,8.540564,9.685641,4.158514,2.668886,3.90021,FALSE,"noCluster"
"NODE_1103_length_6248_cov_87.4928",24.527931,16.491038,13.028983,7.523323,3.472946,4.553446,8.028722,FALSE,"noCluster"
"NODE_1104_length_6244_cov_64.5786",7.68287,8.913086,9.368301,8.466433,5.569507,5.764594,7.180971,FALSE,"noCluster"
"NODE_1105_length_6243_cov_41.2755",5.256641,6.250711,7.360342,6.256694,3.291141,3.176166,2.700479,FALSE,"noCluster"
"NODE_1106_length_6243_cov_21.872",7.782647,5.323688,1.884237,0.956627,0.784217,1.111658,2.09207,FALSE,"noCluster"
"NODE_1107_length_6238_cov_42.671",9.676629,8.2182,8.158906,6.202904,3.422514,1.841043,2.115157,FALSE,"noCluster"
"NODE_1108_length_6235_cov_73.5364",9.723541,8.280188,7.84684,7.276589,12.468414,12.274463,10.567692,FALSE,"noCluster"
"NODE_1109_length_6228_cov_50.6716",1.814375,5.861156,7.391561,6.493524,6.057264,7.562041,8.495968,FALSE,"noCluster"
