"","pathway.name","log.fold.change","p.Value","FDR","contrast"
"159","L1",0.826209848530367,0.090009517814674,0.10501110411712,"Gam.Male-Asex.Schiz"
"160","S8",0.52101065544936,0.422007726752407,0.422007726752407,"Gam.Male-Asex.Schiz"
"161","pirs",-1.66714244488206,0.000187444493439992,0.000187444493439992,"Sporoz-Ook"
"162","L",-1.33652052496295,0.0000210002055462954,0.0000420004110925909,"Sporoz-Ook"
"163","S",-1.72619802984664,0.000564526083132622,0.000564526083132622,"Sporoz-Ook"
"164","L2",-1.70061772985233,0.000000722776014816517,0.00000505943210371562,"Sporoz-Ook"
"165","S1",-1.88733736550503,0.00026755381466903,0.000936438351341606,"Sporoz-Ook"
"166","L1",-1.24634812501814,0.000576894709853004,0.00102262394058633,"Sporoz-Ook"
"167","L3",-1.18168971824139,0.000584356537477904,0.00102262394058633,"Sporoz-Ook"
"168","S4",-1.8964501810721,0.00194130330603604,0.00271782462845045,"Sporoz-Ook"
"169","S2",-0.927852533993317,0.00531771579840568,0.00620400176480662,"Sporoz-Ook"
"170","S8",-0.462020881870166,0.222970868573041,0.222970868573041,"Sporoz-Ook"
"171","pirs",0.0471107230211042,0.899158754288855,0.899158754288855,"Gam.Male-Asex.Mixed"
"172","L",-0.722920108706864,0.0278060701449241,0.0556121402898482,"Gam.Male-Asex.Mixed"
"173","S",0.242609931405628,0.549057694366152,0.549057694366152,"Gam.Male-Asex.Mixed"
"174","L2",-1.25503887402182,0.000301672300369926,0.00211170610258948,"Gam.Male-Asex.Mixed"
"175","L3",-0.943874850974853,0.00226356339402178,0.00739243333451582,"Gam.Male-Asex.Mixed"
"176","S8",-1.85037420856562,0.00316818571479249,0.00739243333451582,"Gam.Male-Asex.Mixed"
"177","S4",0.614888590381223,0.130768179453225,0.228844314043144,"Gam.Male-Asex.Mixed"
"178","L1",-0.469161991610155,0.21385985135317,0.299403791894438,"Gam.Male-Asex.Mixed"
"179","S2",-0.500838831690647,0.308410455167789,0.340108326260147,"Gam.Male-Asex.Mixed"
"180","S1",0.393450150750027,0.340108326260147,0.340108326260147,"Gam.Male-Asex.Mixed"
"181","pirs",0.401091046804103,0.606669712101305,0.606669712101305,"Gam.Male-Liv.Meroz"
"182","L",-0.652170860175638,0.234637381949699,0.415584706555694,"Gam.Male-Liv.Meroz"
"183","S",0.7084580074682,0.415584706555694,0.415584706555694,"Gam.Male-Liv.Meroz"
"184","L3",-2.1509099387813,0.0459990991493568,0.321993694045498,"Gam.Male-Liv.Meroz"
"185","S2",-1.31753081561779,0.174638581479594,0.533127250618839,"Gam.Male-Liv.Meroz"
"186","S1",0.965551878845644,0.249374939375722,0.533127250618839,"Gam.Male-Liv.Meroz"
"187","L1",-0.458742762810876,0.304644143210765,0.533127250618839,"Gam.Male-Liv.Meroz"
"188","S4",0.670202835553191,0.423228886576546,0.592520441207165,"Gam.Male-Liv.Meroz"
"189","S8",0.0917264048475191,0.885734611858212,0.909503429023181,"Gam.Male-Liv.Meroz"
"190","L2",-0.0600438189744831,0.909503429023181,0.909503429023181,"Gam.Male-Liv.Meroz"
