id	BTCB	MTCB
PCHCB_0403700	294.8017693	326.644607
PCHCB_0403800	31.43104383	34.6405375
PCHCB_0403900	1981.354811	2588.788787
PCHCB_0404000	42.3799865	56.2159385
PCHCB_0404100	0.223944333	0.2707015
PCHCB_0404200	2.756400167	1.576402167
PCHCB_0404300	58.8845	65.999886
PCHCB_0404400	73.3669385	83.03493917
PCHCB_0404500	39.69428167	37.08625483
PCHCB_0404600	21.36442633	19.78106183
PCHCB_0404700	305.8089853	292.7583677
PCHCB_0404800	145.0695753	164.3220352
PCHCB_0404900	91.39399867	86.90718167
PCHCB_0405000	188.8619737	208.0640112
PCHCB_0405100	253.7526818	327.6457103
PCHCB_0405200	1.66915	1.042520667
PCHCB_0405300	424.6176625	586.480634
PCHCB_0405400	99.61874617	99.259418
PCHCB_0405500	36.03021617	42.7085155
PCHCB_0405600	687.70919	863.8945982
PCHCB_0405700	596.4074073	536.4328025
PCHCB_0405800	332.2826798	404.5414038
PCHCB_0405900	244.2448857	285.187265
PCHCB_0406000	93.06265567	135.7364773
PCHCB_0406100	160.8791648	158.5590195
PCHCB_0406200	958.786103	1176.01281
PCHCB_0406300	1030.751868	1327.627455
PCHCB_0406400	1073.497058	1125.051459
PCHCB_0406500	17.79155683	24.252013
PCHCB_0406600	30.43881483	37.565928
PCHCB_0406700	134.3443945	159.0104607
PCHCB_0406800	63.12434533	74.936369
PCHCB_0406900	129.0389392	90.60390867
PCHCB_0407000	33.05507033	33.44898483
PCHCB_0407100	0.887503667	0.380027667
PCHCB_0407200	60.383897	81.3034905
PCHCB_0407300	23.304254	30.49079533
PCHCB_0407400	160.7844303	171.2258453
PCHCB_0407500	20.359785	32.11643117
PCHCB_0407600	50.61583683	69.74654033
PCHCB_0407700	168.8315887	167.4012327
PCHCB_0407800	19.495614	23.7511735
PCHCB_0407900	60.20273233	73.53766333
PCHCB_0408000	115.6353698	99.36798817
PCHCB_0408100	32.612868	34.2877615
PCHCB_0408200	6.720017667	2.822769667
PCHCB_0408300	63.10066167	50.21415183
PCHCB_0408400	25.58443767	23.155207
PCHCB_0408500	128.413511	143.1596337
PCHCB_0408600	1742.80804	2399.39476
PCHCB_0408700	10.78509717	12.58460083
PCHCB_0408800	21.47586767	30.4646825
PCHCB_0408900	17.637589	19.61097533
PCHCB_0409000	32.31147083	48.285277
PCHCB_0409100	0.397673167	0.615986333
PCHCB_0409200	20.0883705	11.60923517
PCHCB_0409300	52.69469967	45.63869733
PCHCB_0409400	41.477624	50.22395267
PCHCB_0409500	57.34845167	64.491373
PCHCB_0409600	203.7689747	240.4714112
PCHCB_0409700	302.0133575	368.8413295
PCHCB_0409800	89.60681967	97.81863983
PCHCB_0409900	33.2279055	31.7905825
PCHCB_0410000	37.09037883	33.21134433
PCHCB_0410100	27.9699855	29.24015267
PCHCB_0410200	55.444795	49.6317635
PCHCB_0410300	8.989188333	1.0941215
PCHCB_0410400	252.6214277	267.7565328
PCHCB_0410500	17.95711767	20.59628867
PCHCB_0410600	7.537903333	4.5769245
PCHCB_0410700	400.786511	376.9247345
PCHCB_0410800	8.079501	11.44516
PCHCB_0410900	32.65532617	45.51035467
PCHCB_0411000	37.48951583	46.83381583
PCHCB_0411100	10.51600633	9.966212667
PCHCB_0411200	368.5683585	395.8096907
