"Name","SRX697834_SRR1571704_TPM","SRX697835_SRR1571705_TPM","SRX697836_SRR1571706_TPM","SRX697837_SRR1571707_TPM","SRX697838_SRR1571708_TPM","SRX697839_SRR1571709_TPM","SRX697840_SRR1571710_TPM","SRX697841_SRR1571711_TPM","pir","subfam"
"NODE_531_length_10530_cov_24.4726",0.894476,2.055915,2.275482,3.584766,2.644299,1.379356,0.759775,0.992695,FALSE,"none"
"NODE_532_length_10528_cov_66.3652",3.424128,4.996056,5.01392,6.531445,5.010548,3.895633,5.006607,5.842772,FALSE,"none"
"NODE_533_length_10528_cov_137.584",8.031437,8.714325,6.482298,6.171752,7.765019,12.513465,19.481551,14.124874,FALSE,"none"
"NODE_534_length_10522_cov_82.9496",7.84981,8.491112,7.436509,8.02159,6.723704,4.599561,3.13729,3.022124,FALSE,"none"
"NODE_535_length_10520_cov_60.7656",5.254909,6.527063,6.179754,6.991941,4.27285,2.441054,1.399591,1.682537,FALSE,"none"
"NODE_536_length_10513_cov_155.892",13.660577,12.516336,10.373354,12.251007,11.196316,9.047018,8.057797,7.178951,FALSE,"none"
"NODE_537_length_10501_cov_247.226",11.971204,6.081336,12.29136,35.706707,40.162804,19.791248,9.648727,12.484656,FALSE,"none"
"NODE_538_length_10494_cov_181.961",11.222055,12.061935,9.350043,11.569854,17.092193,14.616722,16.674157,17.050591,FALSE,"none"
"NODE_539_length_10473_cov_60.1059",4.024415,4.055852,3.859997,6.43098,6.797937,3.746027,2.800135,4.139488,FALSE,"none"
"NODE_540_length_10467_cov_39.1555",2.751307,3.755877,4.194325,4.790802,2.991702,1.704561,1.540642,1.835461,FALSE,"none"
"NODE_541_length_10439_cov_440.54",35.92022,27.986051,23.091716,30.708625,41.298098,33.362112,27.105886,27.504877,FALSE,"none"
"NODE_542_length_10430_cov_151.961",0.20531,4.051224,0.279001,0.305388,3.372002,18.476869,35.145933,30.111456,FALSE,"none"
"NODE_543_length_10376_cov_83.8516",2.671234,2.441787,5.409806,12.127795,10.104623,6.087812,4.543079,6.888383,FALSE,"none"
"NODE_544_length_10375_cov_114.483",8.001327,7.89818,7.673385,9.121335,9.835789,9.863557,8.866677,7.816315,FALSE,"none"
"NODE_545_length_10374_cov_36.8962",1.741687,1.843619,2.22447,3.614004,3.282466,2.993773,3.066044,3.061619,FALSE,"none"
"NODE_546_length_10367_cov_123.203",9.948181,9.974616,9.916846,14.101854,12.633756,5.399967,2.620573,3.207075,FALSE,"none"
"NODE_547_length_10366_cov_504.65",43.908905,40.176843,39.161271,42.106696,36.915382,31.976652,30.039018,31.176232,FALSE,"none"
"NODE_548_length_10366_cov_35.7098",1.759154,2.294246,3.15859,4.560284,3.257249,2.173159,1.903919,2.576703,FALSE,"none"
"NODE_549_length_10365_cov_23.5916",1.835434,2.932243,3.233765,2.716733,1.041699,0.639152,0.713662,0.979055,FALSE,"none"
"NODE_550_length_10359_cov_50.6542",3.497284,4.739593,4.798845,4.847013,3.478109,2.976857,2.685925,2.705645,FALSE,"none"
"NODE_551_length_10350_cov_124.3",5.417345,8.005215,9.977448,13.368102,10.802419,9.754032,9.467834,9.429925,FALSE,"none"
"NODE_552_length_10342_cov_53.545",4.378899,5.331602,4.880827,5.917509,4.154792,2.405042,1.931235,2.998999,FALSE,"none"
"NODE_553_length_10338_cov_67.9524",4.214655,3.849337,3.862122,4.709187,5.529828,4.637744,4.987744,5.056976,FALSE,"none"
"NODE_554_length_10337_cov_117.567",9.962622,6.734992,6.524135,9.471748,13.736509,10.989041,6.564617,6.638466,FALSE,"none"
"NODE_555_length_10333_cov_47.6667",4.263846,4.789385,5.232682,5.963808,3.568994,1.417305,1.204023,1.80695,FALSE,"none"
"NODE_556_length_10330_cov_127.636",8.92394,7.755154,5.456022,7.06216,11.176823,11.806202,11.412778,10.109183,FALSE,"none"
"NODE_557_length_10329_cov_33.1125",1.656856,2.288116,2.682329,3.455441,2.171188,2.109914,2.155072,3.046203,FALSE,"none"
"NODE_558_length_10315_cov_65.9035",5.11421,3.500848,3.790348,5.626733,7.560349,6.479452,4.257404,3.739553,FALSE,"none"
"NODE_559_length_10313_cov_85.6237",7.972424,6.651232,6.280309,9.242909,8.843411,4.65384,2.464052,3.137904,FALSE,"none"
"NODE_560_length_10301_cov_43.7126",4.361253,5.589087,4.94473,4.767579,2.07033,1.150961,1.377568,1.774258,FALSE,"none"
"NODE_561_length_10300_cov_161.428",9.912369,10.302061,9.62087,13.091786,12.999419,10.028576,10.977776,16.438389,FALSE,"none"
"NODE_562_length_10297_cov_120.799",7.452307,7.590637,7.144813,11.816541,16.036512,10.285266,6.294842,6.108772,FALSE,"none"
"NODE_563_length_10291_cov_85.2169",4.3282,1.629054,3.099753,8.616094,13.306457,9.060066,4.908591,5.716523,FALSE,"none"
"NODE_564_length_10290_cov_41.2472",3.193762,1.757415,2.490788,3.999636,5.973571,3.371911,1.725462,2.092138,FALSE,"none"
"NODE_565_length_10284_cov_68.7361",4.625268,4.398814,4.697274,7.306705,7.043537,4.278138,3.689203,4.075649,FALSE,"none"
"NODE_566_length_10279_cov_65.6589",2.834112,0.641699,2.176095,8.818058,11.071212,7.011244,3.677134,4.244423,FALSE,"none"
