"Name","SRX697842_SRR1571712_TPM","SRX697843_SRR1571713_TPM","SRX697844_SRR1571714_TPM","SRX697845_SRR1571715_TPM","pir","subfam"
"NODE_233_length_13051_cov_370.391",29.060938,29.523655,31.682492,29.125878,FALSE,"none"
"NODE_234_length_13015_cov_71.7865",5.535448,5.755124,6.338491,5.593068,FALSE,"none"
"NODE_235_length_13000_cov_42.7728",3.422194,3.365982,3.833977,3.53417,FALSE,"none"
"NODE_236_length_12996_cov_20.562",1.668516,1.64589,1.808824,1.610352,FALSE,"none"
"NODE_237_length_12984_cov_36.5069",2.917455,2.894056,3.194372,3.018759,FALSE,"none"
"NODE_238_length_12981_cov_32.4026",2.533416,2.678601,2.959764,2.523603,FALSE,"none"
"NODE_239_length_12979_cov_34.1783",2.77991,2.661766,3.020289,2.695135,FALSE,"none"
"NODE_240_length_12860_cov_106.206",8.400775,8.125278,9.236065,8.479555,FALSE,"none"
"NODE_241_length_12806_cov_165.589",13.385042,12.887306,14.59932,13.971721,FALSE,"none"
"NODE_242_length_12763_cov_38.098",3.055661,3.086469,3.359727,3.058041,FALSE,"none"
"NODE_243_length_12761_cov_90.1166",7.149714,6.912061,7.868749,7.073452,FALSE,"none"
"NODE_244_length_12739_cov_58.1824",4.400233,4.551883,5.156953,4.668975,FALSE,"none"
"NODE_245_length_12721_cov_436.802",34.001026,35.113281,39.098307,33.643313,FALSE,"none"
"NODE_246_length_12659_cov_13.8007",1.146413,1.055255,1.168033,1.043023,FALSE,"none"
"NODE_247_length_12658_cov_59.1808",4.481387,4.98239,5.284207,4.743385,FALSE,"none"
"NODE_248_length_12650_cov_66.0512",5.068619,5.212003,5.974578,5.311634,FALSE,"none"
"NODE_249_length_12623_cov_22.4078",1.904482,1.697443,1.915972,1.750841,FALSE,"none"
"NODE_250_length_12616_cov_80.1216",6.49707,6.328185,7.297659,6.372715,FALSE,"none"
"NODE_251_length_12615_cov_56.6043",4.388644,4.520845,5.025536,4.56981,FALSE,"none"
"NODE_252_length_12547_cov_71.8517",5.378265,5.487402,6.158444,5.638876,FALSE,"none"
"NODE_253_length_12534_cov_67.2592",5.27835,5.358848,6.121621,5.247275,FALSE,"none"
"NODE_254_length_12528_cov_188.512",15.366342,15.773518,17.213413,15.55127,FALSE,"none"
"NODE_255_length_12483_cov_42.4051",3.400841,3.223449,3.608227,3.395225,FALSE,"none"
"NODE_256_length_12472_cov_91.6475",7.30214,7.347351,8.103429,7.376869,FALSE,"none"
"NODE_257_length_12455_cov_141.179",10.969914,11.122821,12.653832,11.012406,FALSE,"none"
"NODE_258_length_12418_cov_52.0735",3.742927,3.701117,4.325819,4.01953,FALSE,"none"
"NODE_259_length_12375_cov_229.672",17.976764,17.828091,19.694187,17.668763,FALSE,"none"
"NODE_260_length_12371_cov_46.4647",3.686322,3.665941,4.249046,3.810765,FALSE,"none"
"NODE_261_length_12361_cov_127.089",10.001042,9.723609,11.408191,10.558051,FALSE,"none"
"NODE_262_length_12347_cov_406.489",33.106182,32.959472,37.181055,32.382893,FALSE,"none"
"NODE_263_length_12327_cov_103.187",8.168244,8.15593,9.223089,8.182873,FALSE,"none"
"NODE_264_length_12316_cov_45.4719",3.660169,3.617817,3.778624,3.745853,FALSE,"none"
"NODE_265_length_12314_cov_10.7785",0.833202,0.929301,0.965294,0.771478,FALSE,"none"
"NODE_266_length_12268_cov_29.4739",2.371881,2.269053,2.688095,2.297607,FALSE,"none"
"NODE_267_length_12226_cov_43.818",3.565329,3.490321,3.721123,3.715051,FALSE,"none"
"NODE_268_length_12217_cov_73.2783",5.941902,6.141572,6.435874,6.14644,FALSE,"none"
"NODE_269_length_12189_cov_51.1081",4.046218,4.052654,4.508718,4.288167,FALSE,"none"
"NODE_270_length_12163_cov_92.8494",7.428664,7.344653,8.086291,7.734233,FALSE,"none"
"NODE_271_length_12140_cov_73.5871",5.662928,5.605733,6.364178,5.88897,FALSE,"none"
"NODE_272_length_12121_cov_47.6125",3.602261,3.883885,4.059975,3.955583,FALSE,"none"
"NODE_273_length_12110_cov_151.957",12.021329,11.946282,12.988478,12.469626,FALSE,"none"
"NODE_274_length_12092_cov_30.157",2.358681,2.428415,2.761478,2.492279,FALSE,"none"
"NODE_275_length_12026_cov_53.258",4.28735,4.3422,4.618378,4.349293,FALSE,"none"
"NODE_276_length_12006_cov_241.272",18.838842,19.177637,21.581653,19.062054,FALSE,"none"
"NODE_277_length_11955_cov_127.268",10.054122,10.118992,11.506484,10.19746,FALSE,"none"
"NODE_278_length_11931_cov_79.7559",6.120821,6.333787,7.30931,6.197982,FALSE,"none"
